PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
6015,Mazda,Female,Single,35,Sedan - Liability,Sport,"20,000 to 29,000",16,400,3,more than 4,5 years,31 to 35,External,no change,Liability
6016,Toyota,Female,Married,44,Sedan - Liability,Sport,"20,000 to 29,000",14,400,2,1,7 years,36 to 40,External,no change,Liability
6017,Pontiac,Male,Married,73,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,4,2 to 4,more than 7,over 65,External,no change,All Perils
6018,Toyota,Male,Married,50,Sedan - Liability,Sport,"20,000 to 29,000",13,400,1,1,7 years,41 to 50,External,no change,Liability
6019,Mazda,Male,Married,66,Sedan - Collision,Sedan,"30,000 to 39,000",15,500,2,1,more than 7,over 65,External,no change,Collision
6020,Pontiac,Female,Married,43,Sedan - Liability,Sport,"20,000 to 29,000",9,400,2,2 to 4,more than 7,36 to 40,External,no change,Liability
6021,Toyota,Male,Married,38,Sedan - Liability,Sport,"20,000 to 29,000",6,400,2,none,more than 7,36 to 40,External,no change,Liability
6022,Toyota,Male,Single,35,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,1,1,6 years,31 to 35,External,no change,Collision
6023,Toyota,Male,Single,23,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,2,none,5 years,26 to 30,External,no change,Collision
6024,Mazda,Female,Married,43,Sedan - Liability,Sport,"20,000 to 29,000",7,400,3,1,7 years,36 to 40,External,no change,Liability
6025,Honda,Female,Married,51,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,3,2 to 4,7 years,41 to 50,External,no change,Collision
6026,Honda,Male,Single,23,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,3,2 to 4,5 years,26 to 30,External,no change,Collision
6027,Toyota,Male,Married,28,Sedan - Liability,Sport,"20,000 to 29,000",5,400,3,2 to 4,7 years,31 to 35,External,no change,Liability
6028,Chevrolet,Male,Married,41,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,4,none,more than 7,36 to 40,External,4 to 8 years,Collision
6029,Mazda,Male,Married,45,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,2,2 to 4,more than 7,36 to 40,External,no change,Collision
6030,Mazda,Male,Single,30,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,1,more than 4,6 years,31 to 35,External,no change,Collision
6031,Chevrolet,Male,Married,57,Sedan - All Perils,Sedan,"30,000 to 39,000",1,400,1,2 to 4,more than 7,51 to 65,External,no change,All Perils
6032,Pontiac,Male,Married,52,Sedan - All Perils,Sedan,"less than 20,000",13,400,3,none,more than 7,41 to 50,External,no change,All Perils
6033,Pontiac,Male,Single,23,Sedan - Liability,Sport,"20,000 to 29,000",4,400,1,2 to 4,2 years,26 to 30,External,no change,Liability
6034,Honda,Male,Married,40,Sedan - Liability,Sport,"20,000 to 29,000",3,400,3,none,7 years,36 to 40,External,no change,Liability
6035,Toyota,Male,Single,42,Sedan - All Perils,Sedan,"less than 20,000",2,400,4,none,7 years,36 to 40,External,no change,All Perils
6036,Honda,Female,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,4,none,5 years,31 to 35,External,no change,Collision
6037,Chevrolet,Female,Married,30,Sedan - Liability,Sport,"30,000 to 39,000",7,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
6038,Chevrolet,Male,Married,47,Sedan - All Perils,Sedan,"30,000 to 39,000",8,400,4,none,more than 7,41 to 50,External,no change,All Perils
6039,Chevrolet,Male,Married,51,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,3,2 to 4,more than 7,41 to 50,Internal,no change,Collision
6040,Toyota,Female,Married,41,Sedan - Liability,Sport,"20,000 to 29,000",3,400,1,more than 4,7 years,36 to 40,External,no change,Liability
6041,Toyota,Male,Single,34,Sedan - All Perils,Sedan,"30,000 to 39,000",13,400,2,1,7 years,31 to 35,External,no change,All Perils
6042,Pontiac,Male,Married,39,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,3,more than 4,7 years,36 to 40,External,no change,Collision
6043,Chevrolet,Male,Single,44,Sedan - Liability,Sport,"30,000 to 39,000",7,400,4,1,7 years,36 to 40,External,no change,Liability
6044,Accura,Male,Single,26,Utility - All Perils,Utility,"more than 69,000",16,400,1,none,7 years,31 to 35,External,no change,All Perils
6045,Toyota,Male,Married,27,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,4,2 to 4,6 years,31 to 35,External,no change,All Perils
6046,Ford,Male,Married,71,Sedan - Collision,Sedan,"40,000 to 59,000",6,700,3,none,more than 7,over 65,External,no change,Collision
6047,Mazda,Male,Married,53,Sedan - Liability,Sport,"30,000 to 39,000",16,400,4,1,more than 7,41 to 50,External,no change,Liability
6048,Honda,Female,Single,24,Sedan - Liability,Sport,"more than 69,000",12,400,3,2 to 4,5 years,26 to 30,External,no change,Liability
6049,Toyota,Male,Single,31,Sedan - Liability,Sport,"30,000 to 39,000",10,400,3,1,6 years,31 to 35,External,4 to 8 years,Liability
6050,Honda,Male,Married,44,Sedan - Collision,Sedan,"30,000 to 39,000",1,400,3,none,7 years,36 to 40,External,no change,Collision
6051,Toyota,Male,Married,43,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,4,none,7 years,36 to 40,External,no change,All Perils
6052,Toyota,Male,Married,35,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,1,none,6 years,31 to 35,External,no change,All Perils
6053,Honda,Male,Single,28,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,4,none,7 years,31 to 35,External,no change,Collision
6054,Pontiac,Male,Married,48,Sedan - Collision,Sedan,"30,000 to 39,000",3,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
6055,Chevrolet,Male,Single,27,Sedan - All Perils,Sedan,"more than 69,000",2,400,4,none,5 years,31 to 35,External,no change,All Perils
6056,Ford,Male,Married,62,Sedan - Liability,Sport,"more than 69,000",13,400,2,more than 4,more than 7,51 to 65,External,no change,Liability
6057,Honda,Male,Married,37,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,4,none,7 years,36 to 40,External,no change,Collision
6058,Accura,Male,Married,56,Sedan - All Perils,Sedan,"30,000 to 39,000",8,400,2,2 to 4,5 years,51 to 65,External,no change,All Perils
6059,Toyota,Male,Married,28,Sedan - Liability,Sport,"20,000 to 29,000",10,400,3,more than 4,7 years,31 to 35,External,no change,Liability
6060,Accura,Male,Single,41,Sedan - All Perils,Sedan,"more than 69,000",7,400,4,1,7 years,36 to 40,External,no change,All Perils
6061,Chevrolet,Male,Single,30,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,1,2 to 4,4 years,31 to 35,External,no change,Collision
6062,Toyota,Male,Married,57,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,3,none,more than 7,51 to 65,External,no change,Collision
6063,Honda,Male,Married,42,Sedan - Liability,Sport,"30,000 to 39,000",13,400,3,more than 4,7 years,36 to 40,External,no change,Liability
6064,Toyota,Male,Married,75,Sedan - All Perils,Sedan,"less than 20,000",16,400,4,none,more than 7,over 65,External,no change,All Perils
6065,Honda,Male,Married,56,Sport - Collision,Sport,"more than 69,000",3,400,2,none,7 years,51 to 65,External,no change,Collision
6066,Honda,Female,Single,34,Sedan - Liability,Sport,"more than 69,000",10,400,2,more than 4,new,31 to 35,External,no change,Liability
6067,Toyota,Male,Married,65,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,3,none,more than 7,51 to 65,External,no change,Collision
6068,Pontiac,Male,Married,61,Sedan - All Perils,Sedan,"less than 20,000",12,400,1,none,more than 7,51 to 65,External,no change,All Perils
6069,Toyota,Male,Married,54,Sedan - Liability,Sport,"20,000 to 29,000",11,400,3,more than 4,more than 7,41 to 50,External,no change,Liability
6070,Ford,Male,Married,55,Sedan - Collision,Sedan,"40,000 to 59,000",1,500,1,1,more than 7,41 to 50,External,2 to 3 years,Collision
6071,Nisson,Male,Married,47,Sedan - All Perils,Sedan,"more than 69,000",16,400,3,more than 4,more than 7,41 to 50,External,no change,All Perils
6072,Pontiac,Male,Married,43,Sedan - Liability,Sport,"more than 69,000",13,400,2,more than 4,6 years,36 to 40,External,no change,Liability
6073,Honda,Male,Married,31,Sedan - All Perils,Sedan,"30,000 to 39,000",14,400,1,none,7 years,31 to 35,External,no change,All Perils
6074,Honda,Male,Single,41,Sedan - Liability,Sport,"more than 69,000",14,400,1,more than 4,7 years,36 to 40,External,no change,Liability
6075,Honda,Male,Single,16,Sedan - Collision,Sedan,"more than 69,000",11,400,2,none,new,16 to 17,External,no change,Collision
6076,Mazda,Male,Single,30,Sedan - Liability,Sport,"20,000 to 29,000",1,400,1,more than 4,6 years,31 to 35,External,no change,Liability
6077,Pontiac,Male,Single,28,Sedan - All Perils,Sedan,"30,000 to 39,000",14,700,2,2 to 4,7 years,31 to 35,External,no change,All Perils
6078,Honda,Male,Single,16,Sedan - All Perils,Sedan,"more than 69,000",3,400,4,none,new,16 to 17,External,no change,All Perils
6079,Honda,Male,Married,44,Sedan - Liability,Sport,"20,000 to 29,000",6,400,1,2 to 4,7 years,36 to 40,External,no change,Liability
6080,Toyota,Male,Married,47,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,1,1,more than 7,41 to 50,External,no change,All Perils
6081,Toyota,Male,Single,29,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,4,2 to 4,5 years,31 to 35,External,no change,All Perils
6082,Pontiac,Male,Married,62,Sedan - All Perils,Sedan,"less than 20,000",13,400,3,none,more than 7,51 to 65,External,no change,All Perils
6083,Honda,Female,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",3,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
6084,Mazda,Male,Married,76,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,2 to 4,more than 7,over 65,External,no change,All Perils
6085,Honda,Male,Single,27,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,3,2 to 4,6 years,31 to 35,External,no change,Collision
6086,Pontiac,Male,Married,39,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,4,none,6 years,36 to 40,External,no change,All Perils
6087,VW,Female,Married,45,Sedan - All Perils,Sedan,"30,000 to 39,000",14,400,4,1,more than 7,36 to 40,External,no change,All Perils
6088,Toyota,Male,Married,33,Sedan - All Perils,Sedan,"less than 20,000",6,400,4,none,7 years,31 to 35,External,no change,All Perils
6089,Mazda,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,3,1,more than 7,36 to 40,External,no change,All Perils
6090,VW,Male,Married,80,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,3,2 to 4,6 years,over 65,External,no change,All Perils
6091,Mazda,Female,Single,23,Sedan - Liability,Sport,"20,000 to 29,000",1,400,3,2 to 4,3 years,26 to 30,External,4 to 8 years,Liability
6092,Mazda,Male,Married,49,Sedan - All Perils,Sedan,"30,000 to 39,000",7,400,2,1,more than 7,41 to 50,External,no change,All Perils
6093,Mercury,Male,Married,36,Sedan - All Perils,Sedan,"20,000 to 29,000",11,400,4,none,6 years,36 to 40,External,no change,All Perils
6094,Toyota,Female,Single,45,Sedan - All Perils,Sedan,"less than 20,000",10,400,3,none,6 years,36 to 40,External,no change,All Perils
6095,Pontiac,Male,Married,53,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,4,1,more than 7,41 to 50,External,no change,Collision
6096,Toyota,Male,Married,38,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,1,none,7 years,36 to 40,External,no change,Collision
6097,Accura,Male,Married,37,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,1,none,7 years,36 to 40,External,no change,Collision
6098,Honda,Male,Married,29,Sedan - Liability,Sport,"20,000 to 29,000",3,400,4,none,5 years,31 to 35,External,1 year,Liability
6099,Toyota,Female,Single,23,Sedan - Collision,Sedan,"less than 20,000",2,400,1,none,5 years,26 to 30,External,no change,Collision
6100,Toyota,Female,Married,36,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,4,none,7 years,36 to 40,External,no change,Collision
6101,Toyota,Male,Single,27,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
6102,Honda,Male,Married,44,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,4,none,7 years,36 to 40,External,no change,Collision
6103,Saab,Male,Married,31,Sedan - All Perils,Sedan,"20,000 to 29,000",12,400,3,2 to 4,6 years,31 to 35,External,no change,All Perils
6104,Mazda,Male,Married,30,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,3,more than 4,6 years,31 to 35,External,no change,Collision
6105,Pontiac,Male,Married,50,Sedan - Liability,Sport,"20,000 to 29,000",2,400,1,more than 4,7 years,41 to 50,External,no change,Liability
6106,Accura,Male,Married,39,Sedan - Collision,Sedan,"30,000 to 39,000",8,400,4,2 to 4,7 years,36 to 40,External,no change,Collision
6107,Pontiac,Female,Married,33,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,4,none,7 years,31 to 35,External,no change,All Perils
6108,Chevrolet,Female,Single,28,Sedan - Collision,Sedan,"more than 69,000",6,700,2,none,7 years,31 to 35,External,no change,Collision
6109,Pontiac,Male,Married,49,Sport - All Perils,Sport,"30,000 to 39,000",2,400,4,none,7 years,41 to 50,External,no change,All Perils
6110,Mazda,Male,Single,22,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,3,2 to 4,5 years,26 to 30,External,no change,Collision
6111,Honda,Male,Married,46,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,4,2 to 4,more than 7,41 to 50,External,no change,Collision
6112,Pontiac,Male,Single,44,Sedan - Liability,Sport,"more than 69,000",12,400,2,1,7 years,36 to 40,External,4 to 8 years,Liability
6113,Pontiac,Male,Single,36,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,2,none,7 years,36 to 40,External,no change,Collision
6114,Pontiac,Male,Married,29,Sedan - All Perils,Sedan,"30,000 to 39,000",14,400,2,2 to 4,5 years,31 to 35,External,no change,All Perils
6115,Chevrolet,Male,Married,52,Utility - All Perils,Utility,"more than 69,000",5,400,1,none,more than 7,41 to 50,External,no change,All Perils
6116,Pontiac,Male,Married,41,Sedan - Liability,Sport,"more than 69,000",6,400,2,more than 4,7 years,36 to 40,External,no change,Liability
6117,Honda,Female,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",11,400,3,more than 4,7 years,36 to 40,Internal,no change,Liability
6118,Honda,Male,Married,26,Sedan - Liability,Sport,"30,000 to 39,000",14,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
6119,Toyota,Male,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,3,more than 4,7 years,31 to 35,External,no change,Collision
6120,Honda,Male,Single,26,Sedan - Liability,Sport,"30,000 to 39,000",4,400,2,none,7 years,31 to 35,Internal,no change,Liability
6121,Pontiac,Female,Single,27,Sedan - Liability,Sport,"30,000 to 39,000",10,500,1,more than 4,7 years,31 to 35,External,2 to 3 years,Liability
6122,Mazda,Male,Married,36,Sedan - Liability,Sport,"20,000 to 29,000",8,400,1,2 to 4,7 years,36 to 40,External,no change,Liability
6123,Toyota,Male,Married,34,Sedan - Liability,Sport,"20,000 to 29,000",8,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
6124,Mazda,Male,Married,32,Sedan - Liability,Sport,"30,000 to 39,000",11,400,2,2 to 4,5 years,31 to 35,Internal,no change,Liability
6125,Toyota,Male,Married,46,Sedan - Liability,Sport,"20,000 to 29,000",7,400,1,2 to 4,more than 7,41 to 50,External,no change,Liability
6126,Pontiac,Male,Married,52,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
6127,Toyota,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,4,2 to 4,7 years,31 to 35,External,no change,Collision
6128,Mazda,Male,Single,21,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,3,1,5 years,26 to 30,External,no change,Collision
6129,Mazda,Male,Single,31,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,3,none,5 years,31 to 35,External,no change,Collision
6130,VW,Male,Married,51,Sedan - Liability,Sport,"more than 69,000",7,400,1,2 to 4,7 years,41 to 50,External,no change,Liability
6131,Honda,Male,Married,50,Sedan - Liability,Sport,"20,000 to 29,000",15,400,3,more than 4,7 years,41 to 50,External,no change,Liability
6132,Pontiac,Male,Married,46,Sedan - Collision,Sedan,"less than 20,000",10,400,2,1,more than 7,41 to 50,External,no change,Collision
6133,Toyota,Male,Married,30,Sedan - All Perils,Sedan,"less than 20,000",12,400,4,none,7 years,31 to 35,External,4 to 8 years,All Perils
6134,Honda,Male,Married,50,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,4,more than 4,6 years,41 to 50,External,no change,All Perils
6135,Saab,Male,Single,24,Sedan - All Perils,Sedan,"30,000 to 39,000",14,400,4,none,5 years,26 to 30,External,no change,All Perils
6136,Mazda,Male,Single,23,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,3,1,5 years,26 to 30,External,no change,Collision
6137,Toyota,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,3,none,7 years,36 to 40,External,no change,Collision
6138,Pontiac,Male,Married,41,Sedan - Liability,Sport,"30,000 to 39,000",12,400,3,2 to 4,more than 7,36 to 40,External,no change,Liability
6139,Mazda,Male,Married,45,Sedan - Collision,Sedan,"30,000 to 39,000",4,700,4,none,more than 7,36 to 40,External,no change,Collision
6140,Toyota,Female,Married,31,Sedan - Liability,Sport,"20,000 to 29,000",14,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
6141,Chevrolet,Male,Single,30,Sedan - All Perils,Sedan,"20,000 to 29,000",13,400,4,2 to 4,6 years,31 to 35,External,no change,All Perils
6142,Accura,Male,Single,27,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,2,1,7 years,31 to 35,External,no change,All Perils
6143,Toyota,Male,Married,31,Sedan - Liability,Sport,"20,000 to 29,000",14,400,3,2 to 4,6 years,31 to 35,External,no change,Liability
6144,Toyota,Female,Married,68,Sedan - Liability,Sport,"20,000 to 29,000",3,400,2,more than 4,7 years,over 65,External,no change,Liability
6145,Ford,Male,Married,37,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,4,2 to 4,more than 7,36 to 40,External,no change,Collision
6146,Mazda,Male,Married,42,Sedan - All Perils,Sedan,"less than 20,000",10,400,1,none,more than 7,36 to 40,External,no change,All Perils
6147,Honda,Male,Married,42,Sedan - Liability,Sport,"20,000 to 29,000",8,400,3,2 to 4,7 years,36 to 40,External,no change,Liability
6148,Toyota,Male,Single,66,Sedan - All Perils,Sedan,"less than 20,000",7,400,4,none,more than 7,over 65,External,no change,All Perils
6149,Pontiac,Male,Single,21,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,4,2 to 4,5 years,26 to 30,External,no change,Collision
6150,Honda,Male,Single,18,Sport - Collision,Sport,"more than 69,000",6,400,4,none,5 years,21 to 25,External,no change,Collision
6151,Toyota,Male,Married,70,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,4,1,more than 7,over 65,External,no change,All Perils
6152,Toyota,Male,Married,75,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,2,1,more than 7,over 65,External,no change,All Perils
6153,Honda,Male,Married,55,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,1,1,6 years,41 to 50,External,no change,All Perils
6154,Chevrolet,Male,Married,36,Sedan - Collision,Sedan,"40,000 to 59,000",12,400,1,2 to 4,7 years,36 to 40,External,4 to 8 years,Collision
6155,Toyota,Male,Married,37,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,3,none,more than 7,36 to 40,External,no change,Collision
